springA,springB,springC,springP,summerA,summerB,summerC,summerP,autumnA,autumnB,autumnC,autumnP,WinterA,WinterB,WinterC,WinterP,,,,,,,,,
43.9,45.6,44.5,0,41.9,43.6,42.8,0,40.1,41.7,40.8,0,39.4,41.1,40.2,0,,,,,,,,,
43.9,45.6,44.5,0,41.9,43.6,42.8,0,40.1,41.7,40.8,0,39.4,41.1,40.2,0,,,,,,,,,
43.9,45.6,44.5,0,41.8,43.5,42.8,10.5,40.1,41.7,40.8,0,39.4,41.1,40.2,0,,,,,,,,,
43.9,45.6,44.5,0,41.8,43.5,42.8,10.5,40.1,41.7,40.8,0,39.4,41.1,40.2,0,,,,,,,,,
43.9,45.6,44.5,0,41.8,43.5,42.8,10.5,40.1,41.7,40.8,0,39.4,41,40.2,0,,,,,,,,,
43.9,45.6,44.5,0,41.8,43.5,42.8,10.5,40.1,41.7,40.8,0,39.4,41,40.2,0,,,,,,,,,
43.9,45.6,44.5,0,41.8,43.5,42.8,10.5,40.1,41.7,40.8,0,39.4,41,40.2,0,,,,,,,,,
43.9,45.6,44.5,0,41.8,43.5,42.8,10.5,40.1,41.7,40.8,0,39.4,41,40.2,0,,,,,,,,,
43.9,45.6,44.5,0,41.8,43.5,42.8,10.5,40.1,41.7,40.8,0,39.4,41,40.2,0,,,,,,,,,
43.9,45.6,44.5,0,41.8,43.5,42.8,10.5,40.1,41.7,40.8,0,39.4,41,40.2,0,,,,,,,,,
43.9,45.6,44.5,0,41.8,43.5,42.8,10.5,40.1,41.7,40.8,0,39.4,41,40.2,0,,,,,,,,,
43.9,45.6,44.5,0,41.8,43.5,42.8,10.5,40.1,41.7,40.8,0,39.4,41,40.2,0,,,,,,,,,
43.9,45.6,44.5,0,41.8,43.5,42.7,17.5,40.1,41.7,40.8,0,39.4,41,40.2,0,,,,,,,,,
43.9,45.6,44.5,0,41.8,43.5,42.7,17.5,40.1,41.7,40.8,0,39.4,41,40.2,0,,,,,,,,,
43.9,45.6,44.5,0,41.8,43.5,42.7,17.5,40.1,41.7,40.8,0,39.4,41,40.1,98,,,,,,,,,
43.9,45.6,44.5,0,41.8,43.5,42.7,17.5,40.1,41.7,40.8,0,39.4,41,40.1,98,,,,,,,,,
43.9,45.6,44.5,0,41.8,43.5,42.7,17.5,40.1,41.7,40.8,0,39.4,41,40.1,98,,,,,,,,,
43.9,45.6,44.5,0,41.8,43.5,42.7,17.5,40.1,41.7,40.8,0,39.4,41,40.1,98,,,,,,,,,
43.9,45.6,44.5,0,41.8,43.5,42.7,17.5,40.1,41.7,40.8,0,39.4,41,40.1,98,,,,,,,,,
43.9,45.6,44.5,0,41.8,43.5,42.7,17.5,40.1,41.7,40.8,0,39.4,41,40.1,98,,,,,,,,,
43.9,45.6,44.5,0,41.8,43.5,42.7,17.5,40.1,41.7,40.8,0,39.4,41,40.1,98,,,,,,,,,
43.9,45.6,44.5,0,41.8,43.5,42.7,17.5,40.1,41.7,40.8,0,39.4,41,40.1,98,,,,,,,,,
43.9,45.6,44.5,0,41.7,43.4,42.6,0,40.1,41.7,40.8,0,39.4,41,40.1,98,,,,,,,,,
43.9,45.6,44.5,0,41.7,43.4,42.6,0,40.1,41.7,40.8,0,39.4,41,40.1,98,,,,,,,,,
